iter	Passed	Remaining
841	1501	281
842	1503	279
843	1504	277
844	1504	276
845	1506	274
846	1507	272
847	1510	270
848	1511	268
849	1512	266
850	1513	264
851	1514	263
852	1515	261
853	1516	259
854	1516	257
855	1517	255
856	1518	253
857	1520	251
858	1521	249
859	1524	248
860	1525	246
861	1526	244
862	1527	242
863	1528	240
864	1529	238
865	1530	236
866	1531	234
867	1532	233
868	1533	231
869	1534	229
870	1535	227
871	1536	225
872	1539	223
873	1540	222
874	1541	220
875	1542	218
876	1543	216
877	1544	214
878	1544	212
879	1545	210
880	1546	208
881	1548	207
882	1550	205
883	1552	203
884	1555	202
885	1556	200
886	1557	198
887	1558	196
888	1559	194
889	1560	192
890	1561	190
891	1562	189
892	1563	187
893	1564	185
894	1564	183
895	1565	181
896	1567	180
897	1569	178
898	1570	176
899	1571	174
900	1573	172
901	1574	171
902	1575	169
903	1576	167
904	1577	165
905	1578	163
906	1579	161
907	1580	160
908	1584	158
909	1586	156
910	1587	155
911	1587	153
912	1588	151
913	1590	149
914	1591	147
915	1592	146
916	1593	144
917	1594	142
918	1595	140
919	1596	138
920	1598	137
921	1600	135
922	1601	133
923	1602	131
924	1603	129
925	1607	128
926	1608	126
927	1609	124
928	1616	123
929	1620	122
930	1622	120
931	1625	118
932	1629	117
933	1630	115
934	1631	113
935	1636	111
936	1640	110
937	1644	108
938	1645	106
939	1647	105
940	1648	103
941	1650	101
942	1654	100
943	1658	98
944	1661	96
945	1662	94
946	1664	93
947	1665	91
948	1667	89
949	1675	88
950	1677	86
951	1679	84
952	1680	82
953	1682	81
954	1684	79
955	1687	77
956	1688	75
957	1690	74
958	1691	72
959	1695	70
960	1698	68
961	1700	67
962	1701	65
963	1703	63
964	1715	62
965	1717	60
966	1721	58
967	1723	56
968	1725	55
969	1732	53
970	1735	51
971	1738	50
972	1741	48
973	1742	46
974	1752	44
975	1754	43
976	1756	41
977	1758	39
978	1768	37
979	1771	36
980	1773	34
981	1774	32
982	1779	30
983	1786	29
984	1788	27
985	1790	25
986	1791	23
987	1795	21
988	1804	20
989	1806	18
990	1807	16
991	1811	14
992	1819	12
993	1820	10
994	1823	9
995	1825	7
996	1829	5
997	1832	3
998	1834	1
999	1835	0
